Feature,Customer ID,Age,Occupation,Region Type,Marriage Status,Has Children,Income,Number of Handsets,Handset Age,Has Smart Phone,Current Handset Price,Credit Rating,Is Homeowner,Credit Card On Account,Average Bill Cost,Average Minutes Used,Average Recurring Charge,Average Over Bundle Mins,Average No. Roaming Calls,Call Mins Change %,Bill Amount Change %,Average Received Minutes,Average No. Outgoing Calls,Average No. Incoming Calls,Peak:OffPeak,Peak:OffPeak Change %,Average No. Dropped Calls,Lifetime (months customer),No. Customer Care Calls Last Month,No. Retention Offers Accepted,Churn (Customer Left)
15,1098775,22.0,unknown,suburban,no,False,9.0,1,1060,True,,G, false,True,58.06,474.75,30.0,78.75,0.0,-1.115,-0.5262,115.86,42.0,16.33,1.060636364,-2.99296177,6.33,35,0.0,, false
17,1028485,46.0,professional,unknown,no,False,4.0,4,118,True,9.99,C, false,True,33.01,249.5,33.71,0.0,0.0,-0.79,-0.0404,3.51,6.33,0.33,0.680410959,3.670368257,8.67,19,5.0,, true
31,1079442,,unknown,unknown,no,False,9.0,1,273,True,,B, false,True,45.65,1386.25,69.87,0.0,0.0,-10.465,0.2868,716.59,94.0,46.33,0.529515864,5.044198139,15.0,9,0.67,1.0, false
34,1038870,,unknown,unknown,unknown,False,2.0,2,15,True,59.99,B, true,False,50.24,1112.75,59.99,0.0,0.0,3.045,0.0148,238.72,44.0,4.0,0.522872309,-14.80253715,14.0,20,2.0,, false
45,1056204,,unknown,rural,unknown,False,2.0,1,449,True,,C, true,False,89.13,147.25,29.83,51.75,2.19,-1.365,-0.7428,12.11,0.0,0.0,4.334,-1.5690238,5.33,15,0.0,1.0, true
97,1045158,,unknown,suburban,unknown,False,2.0,2,101,True,59.99,B, true,False,56.78,518.25,44.99,62.25,0.0,1.795,0.2502,168.13,30.0,0.0,2.0679629630000003,14.07767716,4.33,20,0.0,1.0, true
126,1032891,,unknown,suburban,unknown,False,2.0,5,236,True,149.99,C, true,False,10.0,3.75,10.0,0.0,0.0,-0.075,,3.44,0.0,0.0,0.25093633,3.313049802,1.33,25,0.0,1.0, true
148,1018831,34.0,unknown,suburban,no,False,7.0,3,283,False,29.99,C, false,True,82.09,842.75,59.99,105.5,0.0,-0.195,0.18600000000000005,29.79,36.0,1.33,2.366863905,-16.06143554,20.67,23,0.0,1.0, true
184,1005456,38.0,unknown,unknown,yes,True,5.0,3,165,True,39.99,A, false,True,38.71,336.5,49.99,0.0,0.0,0.03,-0.0144,167.17,9.67,1.67,5.711333333,15.9785973,1.0,34,0.0,1.0, false
187,1013970,,unknown,unknown,unknown,False,2.0,2,401,True,29.99,F, true,False,70.97,595.25,69.99,0.0,0.98,-2.965,-0.0196,239.58,15.0,12.0,3.684033945,2.06153875,18.0,31,0.0,, true
259,1012370,24.0,unknown,town,no,False,8.0,1,805,True,,A, false,True,36.72,740.75,45.03,3.0,0.0,0.105,0.0134,130.88,13.33,3.67,0.57711114,19.81686085,4.0,26,0.67,, false
276,1009674,76.0,retired,unknown,yes,True,7.0,2,596,True,29.99,A, false,True,30.0,25.0,30.0,0.0,0.0,0.16,,0.22,0.0,0.0,10.94029851,-14.25186951,0.33,33,0.0,, true
296,1000378,44.0,unknown,suburban,no,False,,4,228,False,29.99,A, false,True,50.98,255.5,49.99,0.0,0.0,2.01,,38.84,15.0,0.33,4.605722261,2.5930958509999997,15.0,52,0.0,, true
341,1082082,,unknown,unknown,unknown,False,2.0,2,173,True,129.99,B, true,False,87.22,459.0,48.66,0.0,0.0,0.0,,74.65,20.33,2.33,0.419267679,3.259023591,22.0,13,0.67,, true
350,1029171,66.0,unknown,town,yes,False,4.0,1,745,True,,B, false,True,22.6,173.25,22.5,0.25,0.0,-2.465,-0.452,0.0,0.0,0.0,0.0,-0.7269331059999999,0.0,25,0.0,, true
364,1013822,32.0,unknown,unknown,yes,False,10.0,2,335,True,79.99,A, false,True,32.18,222.0,39.99,2.0,0.0,-3.48,-0.0438,0.0,0.0,0.0,0.0,6.733635682,0.0,27,0.0,, false
411,1027691,56.0,unknown,suburban,yes,False,9.0,1,648,False,,B, true,False,34.09,174.25,29.99,11.0,0.0,2.475,0.226,11.68,1.33,0.0,1.2806439809999999,-16.282738199999994,2.67,21,0.0,, true
437,1065811,54.0,professional,suburban,yes,False,8.0,4,12,True,149.99,A, false,True,85.48,486.0,29.04,67.5,0.0,-3.48,1.3156,154.35,29.0,14.67,1.664569825,11.23681954,8.67,11,4.0,, true
447,1054387,22.0,unknown,suburban,unknown,False,8.0,2,93,True,79.99,D, false,True,92.85,1124.75,49.17,83.0,0.59,-8.515,-1.857,408.76,105.0,39.67,0.968905826,-4.62608165,21.67,18,1.33,, false
452,1016761,38.0,clerical,suburban,yes,True,,2,329,True,59.99,A, false,True,69.91,505.0,45.15,39.75,3.41,1.06,-0.23199999999999998,83.23,12.33,4.33,3.653520445,-13.92457366,12.0,28,0.0,1.0, false
456,1076317,44.0,crafts,rural,yes,True,8.0,1,224,True,,B, false,True,27.55,64.5,19.99,1.75,3.47,0.75,0.1098,1.25,0.0,0.33,0.818553888,2.299466721,4.33,7,0.0,1.0, true
478,1040433,38.0,unknown,unknown,yes,False,5.0,1,482,True,,C, false,True,22.88,58.25,29.99,0.0,0.0,0.815,0.1424,4.78,11.0,2.33,0.41081949700000003,0.235049602,1.67,16,0.0,1.0, false
513,1014866,58.0,unknown,unknown,unknown,False,6.0,5,312,True,29.99,C, true,True,233.2,1464.25,59.99,583.5,0.0,37.955,10.195,247.11,80.33,22.33,1.216164918,11.32992773,47.67,25,0.67,, true
579,1073710,52.0,unknown,suburban,yes,False,9.0,1,298,True,,E, true,True,25.75,32.75,29.99,0.0,2.92,-0.215,-0.515,0.0,0.0,0.0,0.0,-2.5258245880000003,0.0,10,0.0,1.0, true
580,1048031,,unknown,suburban,unknown,False,2.0,2,6,True,79.99,G, true,False,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-6.987428311,0.0,15,0.0,, false
594,1081668,,unknown,suburban,unknown,False,2.0,2,72,True,99.99,C, true,False,85.24,870.0,52.41,56.5,0.0,6.76,-0.0292,161.9,22.0,5.33,1.456756079,-12.92501809,6.33,11,3.33,1.0, true
633,1098537,52.0,unknown,suburban,unknown,False,10.0,1,1091,False,,A, false,True,5.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,16.60984421,0.0,36,0.0,1.0, true
636,1024250,54.0,clerical,suburban,no,True,4.0,1,685,True,,A, false,True,10.0,0.75,10.0,0.0,0.0,-0.015,,0.0,0.0,0.0,0.0,2.368693148,0.0,23,0.0,, false
652,1046408,26.0,unknown,unknown,no,False,8.0,1,487,True,,C, false,True,37.31,204.5,47.06,0.0,0.0,0.23,0.0132,102.09,10.0,1.67,2.3287057769999997,4.01199058,5.0,16,0.67,, true
669,1030274,32.0,unknown,unknown,yes,True,9.0,1,634,True,,E, false,True,25.59,0.0,28.01,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,13.09220248,0.33,21,0.0,, true
686,1043448,50.0,homemaker,unknown,no,False,6.0,1,622,True,,D, true,False,62.98,624.5,59.99,0.0,9.99,-12.49,-0.1998,424.88,7.67,0.67,0.382592593,-3.734366236,6.0,21,0.0,, true
688,1010401,42.0,unknown,suburban,yes,True,9.0,3,545,True,59.99,A, false,True,50.24,158.25,59.99,0.0,0.0,1.515,-0.005,39.79,5.67,2.33,0.5669656670000001,-19.84389337,1.33,34,0.33,, false
711,1013520,50.0,unknown,suburban,yes,False,,1,460,True,,A, false,True,33.25,214.25,39.99,2.25,0.0,2.095,0.0572,10.88,7.0,1.0,1.8368794330000002,-5.284935891,1.67,32,0.33,1.0, true
757,1056179,,unknown,unknown,unknown,False,2.0,1,403,True,,B, true,False,51.87,278.0,24.43,111.0,0.0,-5.34,-1.0374,40.89,2.67,0.33,1.55922725,-14.24803221,0.33,13,0.67,, true
816,1021333,24.0,professional,suburban,yes,False,8.0,1,832,False,,C, false,True,34.82,11.67,29.99,0.0,4.83,0.0,,0.0,0.0,0.0,1.67,-13.15622081,0.0,28,0.0,, false
836,1019458,,unknown,unknown,unknown,False,2.0,2,365,True,29.99,B, true,False,35.88,37.5,44.99,0.0,0.58,0.35,-0.0178,4.13,3.67,1.0,0.434159061,-2.371963385,1.67,23,0.0,1.0, true
856,1010667,26.0,unknown,unknown,no,False,6.0,1,852,True,,A, false,False,53.43,180.5,29.99,65.5,0.0,-3.61,-0.4688,3.58,13.67,0.0,2.145625,-11.4774186,2.67,28,0.0,1.0, true
877,1043460,,unknown,suburban,no,False,5.0,1,622,True,,F, true,False,58.6,420.75,49.99,0.0,0.0,0.765,0.3258,22.29,5.0,0.0,1.8540625,11.65318143,5.33,21,0.0,1.0, true
940,1099160,50.0,unknown,unknown,no,False,9.0,2,717,True,29.99,C, false,True,24.24,15.25,24.24,0.0,0.0,-0.125,0.115,0.0,0.33,0.0,0.28479657399999997,18.52878534,10.0,31,0.0,1.0, false
942,1043989,42.0,unknown,town,yes,True,8.0,2,16,True,149.99,B, false,True,54.29,278.0,45.0,22.75,0.0,2.32,0.2024,50.09,23.33,6.67,1.68520391,9.02185878,9.33,19,1.0,1.0, false
949,1012510,56.0,unknown,suburban,yes,False,,2,177,True,29.99,A, false,True,37.29,664.0,29.7,87.5,0.0,0.7,0.141,231.72,49.67,14.67,4.21578583,10.83852808,4.67,30,2.67,1.0, false
969,1063627,,unknown,unknown,unknown,False,2.0,1,299,False,,G, true,False,33.64,489.0,22.49,26.25,0.0,-1.74,-0.5378,208.79,82.33,23.33,1.097087379,-1.319420866,6.0,10,2.67,, false
